week,day,hour,avg_queue_time,row_count,prev_avg1,prev_week_avg
4,4,14,15.147,17,16.5374,15.147
4,4,15,28.6942,24,15.147,28.6942
4,4,16,9.47077,15,28.6942,9.47077
4,4,17,34.359,28,9.47077,34.359
4,4,18,11.6564,19,34.359,11.6564
4,4,19,4.33723,11,11.6564,4.33723
4,4,20,1.22429,8,4.33723,1.22429
4,4,21,3.06687,10,1.22429,3.06687
4,4,22,5.90732,1,3.06687,5.90732
4,5,7,11.2263,17,11.2263,11.2263
4,5,8,11.2354,14,11.2263,11.2354
4,5,9,10.6559,19,11.2354,10.6559
4,5,10,35.9475,50,10.6559,35.9475
4,5,11,33.3393,36,35.9475,33.3393
4,5,12,19.964,31,33.3393,19.964
4,5,13,32.1613,30,19.964,32.1613
4,5,14,21.9149,26,32.1613,21.9149
4,5,15,19.6708,28,21.9149,19.6708
4,5,16,28.2616,30,19.6708,28.2616
4,5,17,30.5234,32,28.2616,30.5234
4,5,18,15.0674,18,30.5234,15.0674
4,5,19,1.19157,3,15.0674,1.19157
4,5,20,22.9411,20,1.19157,22.9411
4,5,21,23.2982,17,22.9411,23.2982
4,5,22,7.43011,2,23.2982,7.43011
